wgs84(x),wgs84(y),time_series,geometry,status2,ST_NO,NAME_C,NAME_E,ADDR_C,ADDR_E,ADMICODE,TM_X,TM_Y,ELEV,WR_DIST_NO,DEPTID,RV_NO,ST_NO1,REMARKS,LONGITUDE,LATITUDE,STATUS,TRI_NAME,TOWN_ID,SETST_NODA,IP,PORT,IP_SRC,TM_X97,TM_Y97,PERMISTYPE,SETTYPE,UNITTYPE,UNITNAME,USETYPE1,USETYPE2,USETYPE3,USETYPE4,USETYPE5,USETYPE6,ENAME,WNAME,SPECIFICPR,TOWNID,VILLAGE,TRINO2,TRINO3,DAMAREA,ISLIGHTNIN,ISSTEAL,ISDISASTER,LANDSUBSID,OBSITEMS,EQUIPTYPE,RAINPACKCN,ISFENCE,SPACE,RAINMOUTH,ISRT,TRANSSEQ1,TRANSSEQ2,ISCOLLECTI,COLLECTION,ISCHECK,NOTCHCEKRE,TRANSTYPEW,TRANSTYPEC,TRANSTYPET,OBSTYPE,NORMALOBST,SHORTOBSTY,SHORTOBSRE,SHORTOBSPL,SHORTOBSOT,SHORTOBS_S,PAUSEOBSRE,ISREPLACE,REPLACE_ST,PAUSEDATE,NEXTOBSDAT,OBSREMARKS,ISSOLAR,ISLOCALCAL,SUN_W,SUN_CNT,ISSUNSHINE,ISCOVER,SD,DRIVEDISTA,WALKDISTAN,MAINTAINCY,SOLARREMAR,STAFFOPERA,STAFFCOMPI,STNAME_E,NOTCHECKOT,CANCELNO,U_NO,X_84,Y_84
120.127656,23.216734,false,Point,現存,C0X280,將軍,Jiangjun,臺南市將軍區將貴里58號(將軍國小),NULL,6,159885.73,2568756.45,22.0,30,99,NULL,NULL,NULL,"120°07'39.56""","23°13'00.24""",NULL,NULL,6701600,00:00.0,NULL,NULL,NULL,160715.01,2568550.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6701600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jiangjun,NULL,NULL,15,NULL,NULL
120.145722,23.460653,false,Point,現存,C0M710,東石,Dongshi,嘉義縣東石鄉東石村3號(東石鄉公所),NULL,21,161894.56,2595758.73,15.0,30,99,NULL,NULL,NULL,"120°08'44.60""","23°27'38.35""",NULL,NULL,1001009,00:00.0,NULL,NULL,NULL,162723.81,2595553.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Dongshi,NULL,NULL,15,NULL,NULL
120.159667,23.382611,false,Point,現存,C0M750,布袋,Budai,嘉義縣布袋鎮龍江里2-2號(布袋消防分隊),NULL,21,163268.86,2587107.42,10.0,30,99,NULL,NULL,NULL,"120°09'34.80""","23°22'57.40""",NULL,NULL,1001003,00:00.0,NULL,NULL,NULL,164098.11,2586901.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Budai,NULL,NULL,15,NULL,NULL
120.174072,23.2321,false,Point,現存,C0X220,學甲,Xuejia,臺南市學甲區華宗路313號(學甲區公所),NULL,6,164646.44,2570430.47,26.0,30,99,NULL,NULL,NULL,"120°10'26.66""","23°13'55.56""",NULL,NULL,6701300,00:00.0,NULL,NULL,NULL,165475.69,2570224.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6701300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Xuejia,NULL,NULL,15,NULL,NULL
120.189422,23.703283,false,Point,現存,C0K530,臺西,Taixi,雲林縣台西鄉中山路110巷38號(臺西消防分隊),NULL,17,166511.45,2622604.03,12.0,20,99,NULL,NULL,NULL,"120°11'21.92""","23°42'11.82""",NULL,NULL,1000916,00:00.0,NULL,NULL,NULL,167340.67,2622398.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Taixi,NULL,NULL,15,NULL,NULL
120.230928,23.436364,false,Point,現存,C0M650,朴子,Puzi,嘉義縣朴子市竹村里36號(竹村國小),NULL,21,170585.52,2593019.71,20.0,30,99,NULL,NULL,NULL,"120°13'51.34""","23°26'10.91""",NULL,NULL,1001002,00:00.0,NULL,NULL,NULL,171414.74,2592814.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Puzi,NULL,NULL,15,NULL,NULL
120.237839,23.574658,false,Point,現存,C0K510,水林,Shuilin,雲林縣水林鄉水北村水林路12號(水林鄉公所),NULL,17,171373.01,2608331.69,10.0,20,99,NULL,NULL,NULL,"120°14'16.22""","23°34'28.77""",NULL,NULL,1000920,00:00.0,NULL,NULL,NULL,172202.22,2608126.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Shuilin,NULL,NULL,15,NULL,NULL
120.239506,23.274339,false,Point,現存,C0X230,鹽水,Yanshui,臺南市鹽水區竹埔里1號(竹埔派出所),NULL,6,171367.62,2575071.58,29.0,30,99,NULL,NULL,NULL,"120°14'22.22""","23°16'27.62""",NULL,NULL,6700200,00:00.0,NULL,NULL,NULL,172196.84,2574866.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6700200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yanshui,NULL,NULL,15,NULL,NULL
120.239936,23.371645,false,Point,現存,C0M520,東後寮,Donghouliao,嘉義縣義竹鄉東光村7號(台糖東後寮農場),NULL,21,171468.28,2585847.42,15.0,30,99,NULL,NULL,NULL,"120°14'23.77""","23°22'17.92""",NULL,NULL,1001010,00:00.0,NULL,NULL,NULL,172297.49,2585641.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Donghouliao,NULL,NULL,15,NULL,NULL
120.244675,23.676692,false,Point,現存,C0K520,雲林東勢,Yunlindongshi,雲林縣東勢鄉東南村所前街3號(東勢鄉公所),NULL,17,172130.55,2619628.06,10.0,20,99,NULL,NULL,NULL,"120°14'40.83""","23°40'36.09""",NULL,NULL,1000914,00:00.0,NULL,NULL,NULL,172959.75,2619422.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000914,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yunlindongshi,NULL,NULL,15,NULL,NULL
